"name","lat","lon","alt","acc","time","desc","attachments","custom_coords"
"v1","52.487696","13.376810","","","2021-09-18T17:32:08.448+0200","","",""
"v2","52.488935","13.376908","","","2021-09-18T17:35:06.194+0200","","",""
"v3","52.489316","13.377489","","","2021-09-18T17:36:21.348+0200","","",""
"v4","52.489485","13.379267","","","2021-09-18T17:38:12.977+0200","","",""
"v5","52.489593","13.380586","","","2021-09-18T17:40:10.245+0200","","",""
"v6","52.489653","13.381389","","","2021-09-18T17:41:12.959+0200","","",""
"v7","52.489734","13.382427","","","2021-09-18T17:42:29.201+0200","","",""
"v8","52.489788","13.382963","","","2021-09-18T17:43:17.157+0200","","",""
"v9","52.488334","13.384703","","","2021-09-18T17:47:20.774+0200","","",""
"v10","52.487845","13.384427","","","2021-09-18T17:48:57.887+0200","","",""
"v11","52.487650","13.384070","","","2021-09-18T17:49:42.444+0200","","",""
"v12","52.485130","13.379133","","","2021-09-18T17:58:22.183+0200","","",""
"t1","52.495083","13.463811","","","2021-09-22T14:21:30.959+0200","","",""
"t2","52.493697","13.462196","","","2021-09-22T14:24:33.648+0200","","",""
"t3","52.493043","13.461534","","","2021-09-22T14:25:49.863+0200","","",""
"t4","52.492420","13.461128","","","2021-09-22T14:26:52.933+0200","","",""
"t5","52.492111","13.462172","","","2021-09-22T14:28:32.580+0200","","",""
"t15","52.489270","13.471670","","","2021-09-22T14:28:55.502+0200","","",""
"t14","52.489930","13.469630","","","2021-09-22T14:30:57.265+0200","","",""
"t14","52.490306","13.468202","","","2021-09-22T14:43:13.040+0200","","",""
"t16","52.488887","13.472969","","","2021-09-22T14:48:34.179+0200","","",""
